Entity,Super
Q45722,"['Q216353', 'Q250867', 'Q4164871', 'Q63188808']"
Q40847,['Q2578402']
Q12097,"['Q4164871', 'Q355567', 'Q28640', 'Q116', 'Q8441']"
Q1368,"['Q1643989', 'Q1659862', 'Q7598359']"
Q11411,"['Q131436', 'Q1188693']"
Q13147,"['Q265868', 'Q4936952', 'Q28659665']"
Q461585,[]
Q235113,"['Q193291', 'Q4271324', 'Q42104541', 'Q6949149']"
Q80228,"['Q987767', 'Q16896124']"
Q335201,"['Q657709', 'Q95685937']"
Q191808,"['Q733786', 'Q1423891', 'Q467', 'Q63187345']"
Q49848,"['Q234460', 'Q340169', 'Q47461344', 'Q37866906']"
Q373017,"['Q1914636', 'Q192296']"
Q81710,"['Q12059906', 'Q28640']"
Q34379,"['Q267228', 'Q39546']"
Q2934,"['Q1797813', 'Q57814795', 'Q55983715']"
Q506182,['Q5']
Q181947,['Q30750835']
Q144,"['Q39201', 'Q57814795', 'Q55983715']"
Q14659,"['Q80071', 'Q17335294']"
Q32500,['Q5']
Q23390,['Q16521']
Q189299,"['Q4470686', 'Q3575260']"
Q188830,"['Q1196129', 'Q954007', 'Q84048852']"
Q154326,"['Q1406161', 'Q375011', 'Q98183947', 'Q22704077']"
Q851918,['Q9415']
Q51671,"['Q13002315', 'Q6567237', 'Q22813674']"
Q302,"['Q178885', 'Q20643955']"
Q6749621,"['Q855680', 'Q11375911']"
Q5852,['Q1762457']
Q987767,"['Q9158768', 'Q8205328', 'Q39546']"
Q11748378,"['Q1797813', 'Q830', 'Q729', 'Q43445']"
Q12888135,"['Q837718', 'Q20087093', 'Q28877']"
Q42603,"['Q1423891', 'Q4164871', 'Q2259532', 'Q63187345']"
Q210723,"['Q2453629', 'Q17379796']"
Q191851,"['Q838948', 'Q987767', 'Q16896124']"
Q3399907,"['Q2366864', 'Q3773693', 'Q17379525', 'Q45621']"
Q57216,['Q99513137']
Q5580,['Q5']
Q192785,"['Q3707571', 'Q20643955']"
Q23640,"['Q17781690', 'Q188193']"
Q41370,['Q20643955']
Q48422,"['Q170494', 'Q2937981']"
Q124072,"['Q125734', 'Q1046481', 'Q15142889']"
Q821952,['Q1138737']
Q1125062,['Q11499147']
Q4991371,"['Q4164871', 'Q6857706', 'Q47064']"
Q181146,['Q124734']
Q216169,"['Q15169167', 'Q15747939']"
Q327496,['Q207961']
Q80994,"['Q5932254', 'Q785260', 'Q851990', 'Q185836', 'Q7239']"
Q130912,"['Q3629395', 'Q2862130']"
Q843533,['Q66558307']
Q349185,['Q9069454']
Q17245659,['Q23786']
Q76469,['Q1058795']
Q188641,"['Q4936952', 'Q206718', 'Q66558307']"
Q3039121,['Q1231896']
Q202466,['Q1048314']
Q2191986,"['Q5932254', 'Q851990']"
Q8502,"['Q271669', 'Q2221906']"
Q10791,['Q1190554']
Q12518,['Q41176']
Q405,['Q2537']
Q20460,"['Q4502142', 'Q21550515', 'Q392371']"
Q43748,"['Q1847641', 'Q18534278', 'Q66568682']"
Q9103,"['Q4936952', 'Q189961', 'Q66557754']"
Q43801,"['Q206060', 'Q66511773']"
Q132041,['Q39546']
Q431488,['Q188055']
Q3769366,['Q1190554']
Q359936,['Q5']
Q488841,"['Q1406161', 'Q22704077']"
Q193507,['Q5']
Q40662,['Q20643955']
Q66481349,"['Q1406161', 'Q22704077']"
Q199657,"['Q1914636', 'Q11862829', 'Q2200417']"
Q188669,"['Q811979', 'Q811909']"
Q4575936,"['Q12038335', 'Q7368']"
Q35197,['Q65037298']
Q35473,['Q391414']
Q40953,"['Q223393', 'Q234460', 'Q1914636', 'Q98088085', 'Q23847174', 'Q451967']"
Q468802,['Q5']
Q392371,"['Q80071', 'Q40843']"
Q33923,['Q20643955']
Q1246258,"['Q104385260', 'Q15142889', 'Q64418']"
Q125734,['Q728']
Q1046481,"['Q1058629', 'Q15142889']"
